ProductID,WarehouseLocation,CurrentStock,SafetyStock,ReorderPoint,MaxCapacity
PRD001,Mumbai Warehouse,390,200,400,2000
PRD001,Delhi Warehouse,118,100,200,1000
PRD001,Bangalore Warehouse,390,200,400,2000
PRD001,Kolkata Warehouse,108,200,400,2000
PRD002,Mumbai Warehouse,13,50,100,500
PRD002,Delhi Warehouse,114,50,100,500
PRD002,Bangalore Warehouse,367,200,400,2000
PRD002,Kolkata Warehouse,852,200,400,2000
PRD003,Mumbai Warehouse,207,100,200,1000
PRD003,Delhi Warehouse,275,50,100,500
PRD003,Bangalore Warehouse,198,100,200,1000
PRD003,Kolkata Warehouse,149,100,200,1000
PRD004,Mumbai Warehouse,277,50,100,500
PRD004,Delhi Warehouse,489,200,400,2000
PRD004,Bangalore Warehouse,656,200,400,2000
PRD004,Kolkata Warehouse,37,100,200,1000
PRD005,Mumbai Warehouse,1141,200,400,2000
PRD005,Delhi Warehouse,218,200,400,2000
PRD005,Bangalore Warehouse,249,50,100,500
PRD005,Kolkata Warehouse,437,50,100,500
PRD006,Mumbai Warehouse,1148,200,400,2000
PRD006,Delhi Warehouse,415,100,200,1000
PRD006,Bangalore Warehouse,3800,500,1000,5000
PRD006,Kolkata Warehouse,325,500,1000,5000
PRD007,Mumbai Warehouse,451,100,200,1000
PRD007,Delhi Warehouse,477,100,200,1000
PRD007,Bangalore Warehouse,1900,500,1000,5000
PRD007,Kolkata Warehouse,1230,500,1000,5000
PRD008,Mumbai Warehouse,524,100,200,1000
PRD008,Delhi Warehouse,833,200,400,2000
PRD008,Bangalore Warehouse,4572,500,1000,5000
PRD008,Kolkata Warehouse,606,100,200,1000
PRD009,Mumbai Warehouse,2085,500,1000,5000
PRD009,Delhi Warehouse,172,100,200,1000
PRD009,Bangalore Warehouse,3395,500,1000,5000
PRD009,Kolkata Warehouse,1904,200,400,2000
PRD010,Mumbai Warehouse,236,200,400,2000
PRD010,Delhi Warehouse,1193,500,1000,5000
PRD010,Bangalore Warehouse,121,100,200,1000
PRD010,Kolkata Warehouse,1261,500,1000,5000
PRD011,Mumbai Warehouse,1359,200,400,2000
PRD011,Delhi Warehouse,3267,500,1000,5000
PRD011,Bangalore Warehouse,318,100,200,1000
PRD011,Kolkata Warehouse,4523,500,1000,5000
PRD012,Mumbai Warehouse,2203,500,1000,5000
PRD012,Delhi Warehouse,201,200,400,2000
PRD012,Bangalore Warehouse,4519,500,1000,5000
PRD012,Kolkata Warehouse,3080,500,1000,5000
PRD013,Mumbai Warehouse,926,100,200,1000
PRD013,Delhi Warehouse,1815,500,1000,5000
PRD013,Bangalore Warehouse,366,100,200,1000
PRD013,Kolkata Warehouse,4793,500,1000,5000
PRD014,Mumbai Warehouse,701,100,200,1000
PRD014,Delhi Warehouse,147,100,200,1000
PRD014,Bangalore Warehouse,262,200,400,2000
PRD014,Kolkata Warehouse,4337,500,1000,5000
PRD015,Mumbai Warehouse,1284,500,1000,5000
PRD015,Delhi Warehouse,1526,500,1000,5000
PRD015,Bangalore Warehouse,3252,500,1000,5000
PRD015,Kolkata Warehouse,634,100,200,1000
PRD016,Mumbai Warehouse,1802,200,400,2000
PRD016,Delhi Warehouse,7503,1000,2000,10000
PRD016,Bangalore Warehouse,6240,1000,2000,10000
PRD016,Kolkata Warehouse,616,500,1000,5000
PRD017,Mumbai Warehouse,1535,200,400,2000
PRD017,Delhi Warehouse,415,200,400,2000
PRD017,Bangalore Warehouse,521,200,400,2000
PRD017,Kolkata Warehouse,8,200,400,2000
PRD018,Mumbai Warehouse,121,500,1000,5000
PRD018,Delhi Warehouse,1878,500,1000,5000
PRD018,Bangalore Warehouse,1958,1000,2000,10000
PRD018,Kolkata Warehouse,3991,1000,2000,10000
PRD019,Mumbai Warehouse,1780,500,1000,5000
PRD019,Delhi Warehouse,110,200,400,2000
PRD019,Bangalore Warehouse,2913,500,1000,5000
PRD019,Kolkata Warehouse,669,1000,2000,10000
PRD020,Mumbai Warehouse,412,1000,2000,10000
PRD020,Delhi Warehouse,2896,1000,2000,10000
PRD020,Bangalore Warehouse,338,200,400,2000
PRD020,Kolkata Warehouse,594,500,1000,5000
