OrderID,ProductID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,QuantityOrdered,QuantityReceived,DefectQuantity,OrderStatus
ORD00001,PRD009,Nexus Logistics,2025-11-29,2025-12-02,2025-12-02,500,500,0,Delivered
ORD00002,PRD014,Nexus Logistics,2026-03-28,2026-04-02,2026-04-01,500,500,0,Delivered
ORD00003,PRD005,Global Screen Supply,2025-12-23,2025-12-28,2025-12-28,50,50,0,Delivered
ORD00004,PRD002,Stellar Packing Ltd,2025-09-04,2025-09-09,2025-09-09,50,50,0,Delivered
ORD00005,PRD020,Apex Component Ltd,2026-02-24,2026-03-10,2026-03-10,1000,1000,0,Delivered
ORD00006,PRD015,Prime Battery Corp,2025-08-31,2025-09-03,2025-09-03,500,500,0,Delivered
ORD00007,PRD008,Prime Battery Corp,2025-12-17,2025-12-22,2025-12-22,500,500,0,Delivered
ORD00008,PRD005,Prime Battery Corp,2025-09-22,2025-09-25,2025-09-25,1000,1000,0,Delivered
ORD00009,PRD009,Apex Component Ltd,2025-09-10,2025-09-20,,250,0,0,Cancelled
ORD00010,PRD011,Global Screen Supply,2026-06-16,2026-06-23,2026-06-23,100,100,0,Delivered
ORD00011,PRD018,Apex Component Ltd,2026-01-30,2026-02-13,2026-02-11,1000,1000,0,Delivered
ORD00012,PRD012,Stellar Packing Ltd,2026-02-18,2026-03-04,2026-03-04,100,100,0,Delivered
ORD00013,PRD014,Global Screen Supply,2025-12-08,2025-12-13,2025-12-21,50,50,0,Delivered
ORD00014,PRD001,Global Screen Supply,2026-02-14,2026-02-21,2026-02-21,250,250,0,Delivered
ORD00015,PRD004,Prime Battery Corp,2025-10-24,2025-11-07,,250,0,0,Cancelled
ORD00016,PRD020,Nexus Logistics,2026-01-17,2026-01-24,2026-01-24,500,500,0,Delivered
ORD00017,PRD012,Nexus Logistics,2025-08-29,2025-09-05,2025-09-05,1000,1000,0,Delivered
ORD00018,PRD018,Global Screen Supply,2025-10-31,2025-11-10,2025-11-10,500,500,0,Delivered
ORD00019,PRD014,Stellar Packing Ltd,2026-05-31,2026-06-07,2026-06-07,500,500,0,Delivered
ORD00020,PRD003,Global Screen Supply,2026-07-04,2026-07-11,2026-07-10,100,100,0,Delivered
ORD00021,PRD013,Nexus Logistics,2026-02-14,2026-02-19,2026-02-21,100,100,0,Delivered
ORD00022,PRD018,Global Screen Supply,2025-09-25,2025-10-05,2025-10-05,100,100,0,Delivered
ORD00023,PRD018,Nexus Logistics,2025-10-14,2025-10-24,2025-10-24,500,500,0,Delivered
ORD00024,PRD008,Prime Battery Corp,2026-01-12,2026-01-19,2026-01-17,1000,1000,0,Delivered
ORD00025,PRD002,Global Screen Supply,2026-02-25,2026-03-07,2026-03-14,1000,1000,0,Delivered
ORD00026,PRD018,Stellar Packing Ltd,2026-05-29,2026-06-03,2026-06-03,500,500,16,Delivered
ORD00027,PRD013,Stellar Packing Ltd,2026-05-09,2026-05-12,2026-05-10,50,50,0,Delivered
ORD00028,PRD009,Nexus Logistics,2025-12-01,2025-12-04,,500,0,0,Cancelled
ORD00029,PRD018,Apex Component Ltd,2026-01-20,2026-01-25,2026-01-25,50,50,0,Delivered
ORD00030,PRD016,Apex Component Ltd,2026-05-09,2026-05-14,2026-05-14,500,500,0,Delivered
ORD00031,PRD010,Stellar Packing Ltd,2026-07-06,2026-07-16,2026-07-13,500,500,0,Delivered
ORD00032,PRD019,Apex Component Ltd,2026-01-18,2026-02-01,2026-02-07,500,500,19,Delivered
ORD00033,PRD005,Nexus Logistics,2025-10-23,2025-11-06,2025-11-06,250,250,0,Delivered
ORD00034,PRD003,Prime Battery Corp,2026-03-12,2026-03-17,2026-03-17,500,500,0,Delivered
ORD00035,PRD011,Prime Battery Corp,2026-05-26,2026-06-02,,1000,0,0,Cancelled
ORD00036,PRD007,Apex Component Ltd,2025-11-25,2025-12-05,2025-12-05,500,500,0,Delivered
ORD00037,PRD008,Prime Battery Corp,2026-06-29,2026-07-13,2026-07-13,250,250,0,Delivered
ORD00038,PRD004,Global Screen Supply,2026-01-02,2026-01-05,2026-01-05,1000,1000,0,Delivered
ORD00039,PRD004,Global Screen Supply,2025-12-23,2025-12-28,2025-12-31,250,250,0,Delivered
ORD00040,PRD004,Apex Component Ltd,2026-05-14,2026-05-21,2026-05-21,500,500,0,Delivered
ORD00041,PRD016,Apex Component Ltd,2026-05-16,2026-05-19,2026-05-19,100,100,0,Delivered
ORD00042,PRD017,Nexus Logistics,2026-03-12,2026-03-22,2026-03-22,250,250,0,Delivered
ORD00043,PRD007,Prime Battery Corp,2026-06-28,2026-07-01,2026-07-01,100,100,0,Delivered
ORD00044,PRD010,Prime Battery Corp,2026-07-19,2026-07-29,2026-07-29,50,50,0,Delivered
ORD00045,PRD005,Apex Component Ltd,2025-08-24,2025-08-29,2025-08-29,250,250,0,Delivered
ORD00046,PRD017,Stellar Packing Ltd,2026-04-03,2026-04-13,2026-04-13,50,50,0,Delivered
ORD00047,PRD009,Stellar Packing Ltd,2025-08-14,2025-08-19,2025-08-19,500,500,0,Delivered
ORD00048,PRD014,Prime Battery Corp,2026-01-05,2026-01-08,2026-01-08,100,100,0,Delivered
ORD00049,PRD009,Prime Battery Corp,2025-09-22,2025-10-02,2025-10-10,1000,1000,0,Delivered
ORD00050,PRD002,Global Screen Supply,2025-12-08,2025-12-22,2025-12-22,100,100,0,Delivered
ORD00051,PRD010,Stellar Packing Ltd,2025-08-01,2025-08-15,2025-08-15,500,500,0,Delivered
ORD00052,PRD017,Prime Battery Corp,2026-02-22,2026-03-04,2026-03-04,500,500,0,Delivered
ORD00053,PRD011,Stellar Packing Ltd,2025-12-08,2025-12-11,2025-12-11,250,250,0,Delivered
ORD00054,PRD018,Stellar Packing Ltd,2026-02-03,2026-02-13,2026-02-13,250,250,0,Delivered
ORD00055,PRD013,Nexus Logistics,2026-06-29,2026-07-04,2026-07-01,500,500,0,Delivered
ORD00056,PRD001,Global Screen Supply,2026-02-19,2026-02-24,2026-02-24,50,50,0,Delivered
ORD00057,PRD011,Nexus Logistics,2026-04-28,2026-05-01,2026-05-01,1000,1000,0,Delivered
ORD00058,PRD015,Global Screen Supply,2026-07-15,2026-07-22,,50,0,0,Cancelled
ORD00059,PRD002,Prime Battery Corp,2026-01-24,2026-01-31,2026-01-31,500,500,0,Delivered
ORD00060,PRD016,Stellar Packing Ltd,2025-10-06,2025-10-11,2025-10-11,500,500,0,Delivered
ORD00061,PRD012,Stellar Packing Ltd,2025-12-25,2026-01-04,2026-01-04,250,250,0,Delivered
ORD00062,PRD010,Apex Component Ltd,2026-06-27,2026-07-07,,250,0,0,Cancelled
ORD00063,PRD002,Stellar Packing Ltd,2026-04-05,2026-04-12,2026-04-12,100,100,0,Delivered
ORD00064,PRD004,Apex Component Ltd,2025-12-30,2026-01-09,2026-01-09,50,50,0,Delivered
ORD00065,PRD017,Stellar Packing Ltd,2025-12-11,2025-12-16,2025-12-16,250,250,0,Delivered
ORD00066,PRD005,Global Screen Supply,2026-07-06,2026-07-16,2026-07-16,1000,1000,47,Delivered
ORD00067,PRD012,Apex Component Ltd,2026-07-05,2026-07-10,,500,0,0,Cancelled
ORD00068,PRD018,Prime Battery Corp,2026-06-02,2026-06-07,2026-06-07,50,50,0,Delivered
ORD00069,PRD004,Apex Component Ltd,2025-11-22,2025-12-06,2025-12-06,100,100,0,Delivered
ORD00070,PRD016,Stellar Packing Ltd,2026-02-18,2026-02-25,2026-02-25,50,50,0,Delivered
ORD00071,PRD002,Nexus Logistics,2025-12-13,2025-12-18,2025-12-18,50,50,0,Delivered
ORD00072,PRD008,Global Screen Supply,2026-05-10,2026-05-15,2026-05-15,50,50,0,Delivered
ORD00073,PRD009,Global Screen Supply,2025-09-29,2025-10-13,2025-10-14,250,250,0,Delivered
ORD00074,PRD009,Apex Component Ltd,2025-09-27,2025-10-07,2025-10-15,1000,1000,0,Delivered
ORD00075,PRD015,Apex Component Ltd,2025-08-25,2025-09-04,2025-09-12,500,500,7,Delivered
