OrderID,CarrierName,TransitMode,ShippingCost,DistanceMiles,ShipDate
ORD00001,FedEx,Air,4067.24,1165.9,2025-11-30
ORD00002,OceanBlue,Sea,755.56,1119.2,2026-03-30
ORD00003,FedEx,Air,537.97,155.2,2025-12-24
ORD00004,FedEx,Air,3545.48,1135.8,2025-09-05
ORD00005,OceanBlue,Sea,251.68,362.6,2026-02-26
ORD00006,Swift Cargo,Road,747.43,656.5,2025-09-01
ORD00007,FedEx,Air,2625.96,834.6,2025-12-18
ORD00008,OceanBlue,Sea,234.45,324.0,2025-09-24
ORD00010,FedEx,Air,833.14,223.1,2026-06-17
ORD00011,FedEx,Air,2993.21,1088.8,2026-01-31
ORD00012,Swift Cargo,Road,1149.68,1069.6,2026-02-20
ORD00013,BlueDart,Air,1682.7,484.6,2025-12-09
ORD00014,BlueDart,Air,2880.31,847.5,2026-02-15
ORD00016,Swift Cargo,Road,545.02,380.2,2026-01-18
ORD00017,OceanBlue,Sea,441.03,657.8,2025-08-31
ORD00018,OceanBlue,Sea,400.61,546.7,2025-11-01
ORD00019,Swift Cargo,Road,1004.91,824.7,2026-06-02
ORD00020,BlueDart,Air,2577.35,772.4,2026-07-05
ORD00021,Swift Cargo,Road,489.98,293.5,2026-02-15
ORD00022,OceanBlue,Sea,824.84,1145.0,2025-09-27
ORD00023,BlueDart,Air,2224.14,789.4,2025-10-16
ORD00024,Swift Cargo,Road,262.62,170.7,2026-01-14
ORD00025,OceanBlue,Sea,296.11,428.5,2026-02-27
ORD00026,BlueDart,Air,3071.07,896.6,2026-05-30
ORD00027,OceanBlue,Sea,285.97,517.0,2026-05-11
ORD00029,Swift Cargo,Road,360.17,319.3,2026-01-21
ORD00030,FedEx,Air,2591.05,955.6,2026-05-10
ORD00031,Swift Cargo,Road,366.54,212.1,2026-07-07
ORD00032,BlueDart,Air,809.66,216.1,2026-01-20
ORD00033,BlueDart,Air,1914.51,579.1,2025-10-24
ORD00034,BlueDart,Air,2818.99,1036.0,2026-03-14
ORD00036,BlueDart,Air,1537.44,593.0,2025-11-27
ORD00037,OceanBlue,Sea,306.42,487.0,2026-06-30
ORD00038,BlueDart,Air,1316.51,404.1,2026-01-04
ORD00039,FedEx,Air,2302.32,708.7,2025-12-25
ORD00040,OceanBlue,Sea,687.88,1135.2,2026-05-16
ORD00041,Swift Cargo,Road,378.64,230.3,2026-05-17
ORD00042,FedEx,Air,2574.19,770.6,2026-03-13
ORD00043,BlueDart,Air,1887.24,595.6,2026-06-29
ORD00044,Swift Cargo,Road,784.66,567.7,2026-07-21
ORD00045,BlueDart,Air,820.07,236.8,2025-08-26
ORD00046,OceanBlue,Sea,123.94,128.5,2026-04-04
ORD00047,BlueDart,Air,2422.86,798.3,2025-08-16
ORD00048,BlueDart,Air,3087.28,994.9,2026-01-07
